pair,Question A,Question B,pApB,pAB,Lift,Leverage
"('QN8', 'QN45')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who reported that the largest number of drinks they had in a row was 10 or more (within a couple of hours during the 30 days before the survey),0.016368101321925465,0.023745519713261647,1.450719252418969,0.007377418391336182
"('QN8', 'QN46')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who usually obtained the alcohol they drank by someone giving it to them (among students who currently drank alcohol),0.05867007746560296,0.06355606758832565,1.083279080815723,0.004885990122722686
"('QN8', 'QN47')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who ever used marijuana (one or more times during their life),0.1837235862665103,0.2108294930875576,1.1475363472479105,0.0271059068210473
"('QN8', 'QN48')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who tried marijuana before age 13 years (for the first time),0.04072286432783311,0.050307219662058374,1.2353556286480218,0.009584355334225261
"('QN8', 'QN49')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who currently used marijuana (one or more times during the 30 days before the survey),0.101883079656883,0.12115975422427035,1.18920388579052,0.019276674567387353
"('QN8', 'QN50')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who ever used cocaine (any form of cocaine, such as powder, crack, or freebase, one or more times during their life)",0.02784702952171735,0.031041986687147978,1.114732422822296,0.0031949571654306293
"('QN8', 'QN51')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who ever used inhalants (sniffed glue, breathed the contents of aerosol spray cans, or inhaled any paints or sprays to get high, one or more times during their life)",0.03443678459937565,0.037570404505888375,1.0909962977951646,0.003133619906512723
"('QN8', 'QN52')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who ever used heroin (also called ""smack,"" ""junk,"" or ""China white,"" one or more times during their life)",0.011418193129951714,0.00985663082437276,0.8632391055391477,-0.0015615623055789552
"('QN8', 'QN53')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who ever used methamphetamines (also called ""speed,"" ""crystal,"" ""crank,"" or ""ice,"" one or more times during their life)",0.015183767460042174,0.016641065028161803,1.0959773371104817,0.0014572975681196292
"('QN8', 'QN54')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who ever used ecstasy (also called ""MDMA,"" one or more times during their life)",0.02623755017095288,0.028417818740399385,1.0830972615675165,0.0021802685694465064
"('QN8', 'QN55')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who ever used synthetic marijuana (also called ""K2"", ""Spice"", ""fake weed"", ""King Kong"", ""Yucatan Fire"", ""Skunk"", or ""Moon Rocks"", one or more times during their life)",0.047191149265811076,0.05561955965181772,1.1786015072134053,0.00842841038600664
"('QN8', 'QN56')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who ever took steroids without a doctor's prescription (pills or shots, one or more times during their life)",0.018038315742530106,0.017793138760880695,0.9864079892408502,-0.0002451769816494108
"('QN8', 'QN57')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who ever took prescription drugs without a doctor's prescription (such as OxyContin, Percocet, Vicodin, codeine, Adderall, Ritalin, or Xanax, one or more times during their life)",0.0807169078175842,0.09357398873527906,1.1592860934012879,0.012857080917694858
"('QN8', 'QN58')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who ever injected any illegal drug (used a needle to inject any illegal drug into their body one or more times during their life),0.008654747452224039,0.008576548899129545,0.9909646637841063,-7.819855309449363e-05
"('QN8', 'QN59')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who were offered, sold, or given an illegal drug on school property (during the 12 months before the survey)",0.10583085919649396,0.12378392217101894,1.1696392064737176,0.01795306297452498
"('QN8', 'QN60')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who ever had sexual intercourse,0.18092977305386254,0.201036866359447,1.111132031871828,0.020107093305584467
"('QN8', 'QN61')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who had sexual intercourse before age 13 years (for the first time),0.019799632767894995,0.023489503328213007,1.1863605554493475,0.003689870560318012
"('QN8', 'QN62')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who had sexual intercourse with four or more persons (during their life),0.048800628616575546,0.056131592421915004,1.1502227330499886,0.007330963805339458
"('QN8', 'QN63')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who were currently sexually active (sexual intercourse with at least one person during the 3 months before the survey),0.13070187029604305,0.14682539682539683,1.1233611002874984,0.016123526529353782
"('QN8', 'QN64')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who drank alcohol or used drugs before last sexual intercourse (among students who were currently sexually active),0.027391516497916085,0.03270609318996416,1.1940227257024052,0.0053145766920480765
"('QN8', 'QN65')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who used a condom (during last sexual intercourse among students who were currently sexually active),0.07090819403839695,0.08045314900153609,1.1346100417953182,0.009544954963139146
"('QN8', 'QN66')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who used birth control pills (before last sexual intercourse to prevent pregnancy among students who were currently sexually active),0.02159131732817997,0.022785458269329237,1.055306534705538,0.001194140941149266
"('QN8', 'QN69')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who described themselves as slightly or very overweight,0.24163447535911114,0.26036866359447003,1.0775311064678026,0.018734188235358884
"('QN8', 'QN70')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who were trying to lose weight,0.0378379485104251,0.03277009728622632,0.8660643236828104,-0.005067851224198783
"('QN8', 'QN71')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who did not drink fruit juice (100% fruit juices one or more times during the 7 days before the survey),0.15220208501946275,0.14855350742447518,0.9760280708735297,-0.003648577594987573
"('QN8', 'QN72')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who did not eat fruit (one or more times during the 7 days before the survey),0.2027336631264831,0.22420634920634921,1.1059157406260132,0.021472686079866105
"('QN8', 'QN73')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who did not eat salad (during the 7 days before the survey),0.11102370766782839,0.09971838197644649,0.8981719676917449,-0.011305325691381901
"('QN8', 'QN74')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who did not eat potatoes (during the 7 days before the survey),0.049893859873698584,0.044034818228366614,0.8825698861510503,-0.005859041645331971
"('QN8', 'QN75')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who did not eat carrots (during the 7 days before the survey),0.18700328003787942,0.18708397337429594,1.000431507599226,8.069333641652632e-05
"('QN8', 'QN76')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who did not eat other vegetables (during the 7 days before the survey),0.15563361646543228,0.15136968766001024,0.9726027775858496,-0.004263928805422035
"('QN8', 'QN77')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who did not drink a can, bottle, or glass of soda or pop (not including diet soda or diet pop, during the 7 days before the survey)",0.24297064689559486,0.24059139784946237,0.9902076688006067,-0.0023792490461324867
"('QN8', 'QN78')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who did not drink milk (during the 7 days before the survey),0.09416972578718157,0.09248591909882233,0.982119447898101,-0.0016838066883592406
"('QN8', 'QN79')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who did not eat breakfast (during the 7 days before the survey),0.11339237539159495,0.10451868919610854,0.9217435372983274,-0.00887368619548641
"('QN8', 'QN80')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who were physically active at least 60 minutes per day on 5 or more days (doing any kind of physical activity that increased their heart rate and made them breathe hard some of the time during the 7 days before the survey),0.08600085889367888,0.09280593958013313,1.0791280549286981,0.006805080686454246
"('QN8', 'QN81')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who watched television 3 or more hours per day (on an average school day),0.059490000908445244,0.06330005120327702,1.0640452216616272,0.0038100502948317724
"('QN8', 'QN82')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who played video or computer games or used a computer 3 or more hours per day (for something that was not school work on an average school day),0.21433406146595535,0.22926267281105991,1.0696511382418599,0.014928611345104564
"('QN8', 'QN83')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who attended physical education classes on 1 or more days (in an average week when they were in school),0.12207749037873908,0.1279441884280594,1.0480571646019197,0.005866698049320329
"('QN8', 'QN84')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who played on at least one sports team (run by their school or community groups during the 12 months before the survey),0.1982696354932307,0.19802867383512546,0.998784676950125,-0.00024096165810524872
"('QN8', 'QN85')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who were ever tested for HIV (not including tests done when donating blood),0.24157374028927098,0.25384024577572967,1.050777478842569,0.01226650548645869
"('QN8', 'QN86')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who saw a dentist (for a check-up, exam, teeth cleaning, or other dental work during the 12 months before the survey)",0.21314972760407205,0.2616487455197133,1.227534974877982,0.048499017915641235
"('QN8', 'QN87')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who had ever been told by a doctor or nurse that they had asthma,0.046097918008688045,0.0460189452124936,0.998286846790357,-7.897279619444725e-05
"('QN8', 'QN88')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who had 8 or more hours of sleep (on an average school night),0.3220780753624146,0.32462877624167946,1.0079195110576673,0.0025507008792648445
"('QN8', 'QN89')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who made mostly A's or B's in school (during the 12 months before the survey),0.09808713779187245,0.10279057859703021,1.0479516571799437,0.004703440805157763
"('QN8', 'QN90')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who usually used marijuana by smoking it in a joint, bong, pipe, or blunt (during the 30 days before the survey, among students who used marijuana)",0.12408174768346465,0.12339989759344598,0.9945048316714713,-0.0006818500900186708
"('QN8', 'QN91')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who used hallucinogenic drugs (such as LSD, acid, PCP, angel dust, mescaline, or mushrooms, one or more times during their life)",0.31342332791019056,0.29595494111623144,0.9442658371652394,-0.017468386793959123
"('QN8', 'QN92')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who did not drink a can, bottle, or glass of a sports drink (such as Gatorade or PowerAde, not including low-calorie sports drinks such as Propel or G2, during the 7 days before the survey)",0.07254804092408151,0.09831029185867896,1.355106087034887,0.02576225093459744
"('QN8', 'QN93')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who did not drink a bottle or glass of plain water (including tap, bottled, and unflavored sparkling water, during the 7 days before the survey)",0.023079326539264106,0.032194060419866874,1.3949306694498285,0.009114733880602768
"('QN8', 'QN94')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who have to avoid some foods because eating the food could cause an allergic reaction (such as skin rashes, swelling, itching, vomiting, coughing, or trouble breathing)",0.13780787346734277,0.14624935995903737,1.061255473140256,0.0084414864916946
"('QN8', 'QN95')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who did exercises to strengthen or tone their muscles (such as push-ups, sit-ups, or weight lifting, on three or more days during the 7 days before the survey)",0.012389954247394414,0.01401689708141321,1.1313114480919846,0.001626942834018796
"('QN8', 'QN96')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who used an indoor tanning device (such as a sunlamp, sunbed, or tanning booth [not including getting a spray-on tan], one or more times during the 12 months before the survey)",0.053295023784748034,0.05869175627240143,1.1012614706665698,0.005396732487653398
"('QN8', 'QN97')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who had a sunburn (including even a small part of the skin turning red or hurting for 12 hours or more after being outside in the sun or after using a sunlamp or other indoor tanning device, one or more times during the 12 months before the survey)",0.1808690379840224,0.22638248847926268,1.2516375992405115,0.045513450495240276
"('QN8', 'QN98')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who have serious difficulty concentrating, remembering, or making decisions (because of a physical, mental, or emotional problem)",0.023048959004344022,0.029057859703020994,1.2607016090203673,0.0060089006986769715
"('QN8', 'QN99')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who speak English well or very well,0.17601023239680888,0.21428571428571427,1.217461685992293,0.038275481888905394
"('QN9', 'QN10')",students who rarely or never wore a seat belt (when riding in a car driven by someone else),students who rode with a driver who had been drinking alcohol (in a car or other vehicle one or more times during the 30 days before the survey),0.012226207976542449,0.024129544290834613,1.9735918395245888,0.011903336314292164
"('QN9', 'QN11')",students who rarely or never wore a seat belt (when riding in a car driven by someone else),"students who drove when drinking alcohol (one or more times during the 30 days before the survey, among students who had driven a car or other vehicle during the 30 days before the survey)",0.0027057707115682437,0.009280593958013313,3.4299262381454163,0.00657482324644507
"('QN9', 'QN12')",students who rarely or never wore a seat belt (when riding in a car driven by someone else),"students who texted or e-mailed while driving a car or other vehicle (on at least 1 day during the 30 days before the survey, among students who had driven a car or other vehicle during the 30 days before the survey)",0.012384104410639269,0.01945724526369688,1.5711467392814473,0.007073140853057609
"('QN9', 'QN13')",students who rarely or never wore a seat belt (when riding in a car driven by someone else),"students who carried a weapon (such as a gun, knife, or club on at least 1 day during the 30 days before the survey)",0.009064690739285656,0.016193036354326677,1.7863859694790616,0.007128345615041021
"('QN9', 'QN14')",students who rarely or never wore a seat belt (when riding in a car driven by someone else),students who carried a gun (on at least 1 day during the 30 days before the survey),0.00255863994343257,0.00902457757296467,3.5270994639666466,0.0064659376295321
"('QN9', 'QN15')",students who rarely or never wore a seat belt (when riding in a car driven by someone else),"students who carried a weapon on school property (such as a gun, knife, or club on at least 1 day during the 30 days before the survey)",0.0025263429455491294,0.008640552995391706,3.420182129514322,0.006114210049842576
"('QN9', 'QN16')",students who rarely or never wore a seat belt (when riding in a car driven by someone else),students who did not go to school because they felt unsafe at school or on their way to or from school (on at least 1 day during the 30 days before the survey),0.0035419041012173164,0.00972862263184844,2.746721072573594,0.006186718530631123
"('QN9', 'QN17')",students who rarely or never wore a seat belt (when riding in a car driven by someone else),"students who were threatened or injured with a weapon on school property (such as a gun, knife, or club one or more times during the 12 months before the survey)",0.0034091275543631718,0.008384536610343062,2.4594376351838503,0.004975409055979891
"('QN9', 'QN18')",students who rarely or never wore a seat belt (when riding in a car driven by someone else),students who were in a physical fight (one or more times during the 12 months before the survey),0.010338627878021365,0.02131336405529954,2.0615273425798697,0.010974736177278175
"('QN9', 'QN19')",students who rarely or never wore a seat belt (when riding in a car driven by someone else),students who were injured in a physical fight (one or more times during the 12 months before the survey; injuries had to be treated by a doctor or nurse),0.0014246564621917678,0.005952380952380952,4.178116697146406,0.004527724490189185
"('QN9', 'QN20')",students who rarely or never wore a seat belt (when riding in a car driven by someone else),students who were in a physical fight on school property (one or more times during the 12 months before the survey),0.0044964598164390045,0.011200716845878136,2.4910078824519784,0.006704257029439132
"('QN9', 'QN21')",students who rarely or never wore a seat belt (when riding in a car driven by someone else),students who were ever physically forced to have sexual intercourse (when they did not want to),0.004015593403507778,0.008384536610343062,2.0879944177164056,0.004368943206835284
"('QN9', 'QN22')",students who rarely or never wore a seat belt (when riding in a car driven by someone else),"students who experienced physical dating violence (one or more times during the 12 months before the survey, including being hit, slammed into something, or injured with an object or weapon on purpose by someone they were dating or going out with among students who dated or went out with someone during the 12 months before the survey)",0.003832577082168282,0.009472606246799796,2.47160227797445,0.005640029164631514
"('QN9', 'QN23')",students who rarely or never wore a seat belt (when riding in a car driven by someone else),"students who experienced sexual dating violence (one or more times during the 12 months before the survey, including kissing, touching, or being physically forced to have sexual intercourse when they did not want to by someone they were dating or going out with among students who dated or went out with someone during the 12 months before the survey)",0.0038828168566536338,0.008000512032770097,2.060491732712126,0.004117695176116463
"('QN9', 'QN24')",students who rarely or never wore a seat belt (when riding in a car driven by someone else),students who were bullied on school property (during the 12 months before the survey),0.010607769527050039,0.01228878648233487,1.158470350529223,0.0016810169552848309
"('QN9', 'QN25')",students who rarely or never wore a seat belt (when riding in a car driven by someone else),"students who were electronically bullied (including being bullied through e-mail, chat rooms, instant messaging, websites, or texting during the 12 months before the survey)",0.008138843466627025,0.011200716845878136,1.376204972095383,0.003061873379251111
"('QN9', 'QN26')",students who rarely or never wore a seat belt (when riding in a car driven by someone else),students who felt sad or hopeless (almost every day for 2 or more weeks in a row so that they stopped doing some usual activities during the 12 months before the survey),0.01718559142931077,0.02163338453661034,1.2588094291426983,0.0044477931072995705
"('QN9', 'QN27')",students who rarely or never wore a seat belt (when riding in a car driven by someone else),students who seriously considered attempting suicide (during the 12 months before the survey),0.01007666333963346,0.016705069124423964,1.6577976817702846,0.006628405784790504
"('QN9', 'QN28')",students who rarely or never wore a seat belt (when riding in a car driven by someone else),students who made a plan about how they would attempt suicide (during the 12 months before the survey),0.00836492245181111,0.014336917562724014,1.713933111193385,0.005971995110912905
